what,kind,bundleId,bundleVersion,description,time
resolved,bundle,org.eclipse.vjet.vsf.common.converter,0.10.0.201303191704,"org.eclipse.vjet.vsf.common.converter",1368629821066
installed,bundle,org.eclipse.vjet.vsf.docprocessing,0.10.0.201303191704,"org.eclipse.vjet.vsf.docprocessing",1368629821067
installed,bundle,org.eclipse.vjet.vsf.jsbrowser.jsr,0.10.0.201303191704,"org.eclipse.vjet.vsf.jsbrowser.jsr",1368629821070
installed,bundle,org.eclipse.vjet.vsf.jsnative.jsr,0.10.0.201303191704,"org.eclipse.vjet.vsf.jsnative.jsr",1368629821073
installed,bundle,org.eclipse.vjet.vsf.jsref,0.10.0.201303191704,"org.eclipse.vjet.vsf.jsref",1368629821075
installed,bundle,org.eclipse.vjet.vsf.jsruntime,0.10.0.201303191704,"org.eclipse.vjet.vsf.jsruntime",1368629821077
installed,bundle,org.eclipse.vjet.vsf.resource,0.10.0.201303191704,"org.eclipse.vjet.vsf.resource",1368629821079
installed,bundle,org.eclipse.vjet.vsf.resource.environment,0.10.0.201303191704,"org.eclipse.vjet.vsf.resource.environment",1368629821082
installed,bundle,org.eclipse.vjet.vsf.resource.js,0.10.0.201303191704,"org.eclipse.vjet.vsf.resource.js",1368629821085
resolved,bundle,org.eclipse.vjet.vsf.resource.environment,0.10.0.201303191704,"org.eclipse.vjet.vsf.resource.environment",1368629821086
installed,bundle,org.eclipse.vjet.vsf.resource.slot,0.10.0.201303191704,"org.eclipse.vjet.vsf.resource.slot",1368629821088
installed,bundle,org.eclipse.vjet.vsf.serializer,0.10.0.201303191704,"org.eclipse.vjet.vsf.serializer",1368629821091
installed,bundle,org.eclipse.vjet.vsf.spec,0.10.0.201303191704,"org.eclipse.vjet.vsf.spec",1368629821094
installed,bundle,org.eclipse.vjet.vsf.vjo.kernel,0.10.0.201303191704,"org.eclipse.vjet.vsf.vjo.kernel",1368629821099
installed,bundle,org.eclipse.vjet.web.cssparser,0.10.0.201303191704,"org.eclipse.vjet.web.cssparser",1368629821102
installed,bundle,org.eclipse.vjet.web.html,0.10.0.201303191704,"org.eclipse.vjet.web.html",1368629821105
installed,bundle,org.eclipse.vjet.web.kernel,0.10.0.201303191704,"org.eclipse.vjet.web.kernel",1368629821109
installed,bundle,org.eclipse.vjet.web.wrapper,0.10.0.201303191704,"org.eclipse.vjet.web.wrapper",1368629821150
resolved,bundle,org.eclipse.vjet.web.kernel,0.10.0.201303191704,"org.eclipse.vjet.web.kernel",1368629821151
resolved,bundle,org.eclipse.vjet.vsf.resource,0.10.0.201303191704,"org.eclipse.vjet.vsf.resource",1368629821151
installed,bundle,org.eclipse.wst.common.emf,1.2.3.v201012100400,"org.eclipse.wst.common.emf",1368629821154
installed,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.3.v201012020600,"org.eclipse.wst.common.emfworkbench.integration",1368629821158
installed,bundle,org.eclipse.wst.common.modulecore,1.2.5.v201101270100,"org.eclipse.wst.common.modulecore",1368629821163
installed,bundle,org.eclipse.wst.common.modulecore.ui,1.0.4.v201101101700,"org.eclipse.wst.common.modulecore.ui",1368629821166
installed,bundle,org.eclipse.wst.common.project.facet.core,1.4.102.v201008170019,"org.eclipse.wst.common.project.facet.core",1368629821170
installed,bundle,org.eclipse.wst.common.project.facet.ui,1.4.103.v201101271715,"org.eclipse.wst.common.project.facet.ui",1368629821173
installed,bundle,org.eclipse.wst.common.snippets,1.2.2.v201101130441,"org.eclipse.wst.common.snippets",1368629821180
installed,bundle,org.eclipse.wst.css.core,1.1.402.v201102031915,"org.eclipse.wst.css.core",1368629821183
installed,bundle,org.eclipse.wst.css.ui,1.0.502.v201101122002,"org.eclipse.wst.css.ui",1368629821187
installed,bundle,org.eclipse.wst.dtd.core,1.1.401.v201101122255,"org.eclipse.wst.dtd.core",1368629821190
installed,bundle,org.eclipse.wst.html.core,1.1.404.v201101190004,"org.eclipse.wst.html.core",1368629821195
installed,bundle,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.ui",1368629821200
installed,bundle,org.eclipse.wst.jsdt.core,1.1.4.v201102102045,"org.eclipse.wst.jsdt.core",1368629821206
installed,bundle,org.eclipse.wst.jsdt.debug.core,1.0.3.v201011040143,"org.eclipse.wst.jsdt.debug.core",1368629821209
installed,bundle,org.eclipse.wst.jsdt.debug.rhino,1.0.1.v201008170101,"org.eclipse.wst.jsdt.debug.rhino",1368629821212
installed,bundle,org.eclipse.wst.jsdt.debug.rhino.debugger,1.0.1.v201008170101,"org.eclipse.wst.jsdt.debug.rhino.debugger",1368629821214
installed,bundle,org.eclipse.wst.jsdt.debug.ui,1.0.3.v201011040143,"org.eclipse.wst.jsdt.debug.ui",1368629821217
resolved,bundle,org.eclipse.wst.jsdt.debug.rhino.debugger,1.0.1.v201008170101,"org.eclipse.wst.jsdt.debug.rhino.debugger",1368629821219
installed,bundle,org.eclipse.wst.jsdt.doc,1.0.301.v201007150153,"org.eclipse.wst.jsdt.doc",1368629821225
installed,bundle,org.eclipse.wst.jsdt.ui,1.1.4.v201102160540,"org.eclipse.wst.jsdt.ui",1368629821244
installed,bundle,org.eclipse.wst.jsdt.web.core,1.0.304.v201102160550,"org.eclipse.wst.jsdt.web.core",1368629821245
installed,bundle,org.eclipse.wst.jsdt.web.ui,1.0.304.v201012160349,"org.eclipse.wst.jsdt.web.ui",1368629821248
installed,bundle,org.eclipse.wst.server.core,1.1.206.v20110110,"org.eclipse.wst.server.core",1368629821250
installed,bundle,org.eclipse.wst.server.discovery,1.0.101.v20100707,"org.eclipse.wst.server.discovery",1368629821253
installed,bundle,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui",1368629821256
installed,bundle,org.eclipse.wst.sse.core,1.1.504.v201102160550,"org.eclipse.wst.sse.core",1368629821260
installed,bundle,org.eclipse.wst.sse.ui,1.2.3.v201102102045,"org.eclipse.wst.sse.ui",1368629821264
installed,bundle,org.eclipse.wst.validation,1.2.201.v201101270100,"org.eclipse.wst.validation",1368629821289
installed,bundle,org.eclipse.wst.web,1.1.402.v201012160000,"org.eclipse.wst.web",1368629821291
installed,bundle,org.eclipse.wst.xml.core,1.1.503.v201102102045,"org.eclipse.wst.xml.core",1368629821295
installed,bundle,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui",1368629821299
installed,bundle,org.eclipse.wst.xsd.core,1.1.503.v201011121919,"org.eclipse.wst.xsd.core",1368629821301
installed,bundle,org.eclipse.wst.xsd.ui,1.2.304.v201101251958,"org.eclipse.wst.xsd.ui",1368629821308
installed,bundle,org.hamcrest.core,1.1.0.v20090501071000,"org.hamcrest.core",1368629821310
installed,bundle,org.junit,4.8.1.v4_8_1_v20100427-1100,"org.junit",1368629821313
resolved,bundle,org.hamcrest.core,1.1.0.v20090501071000,"org.hamcrest.core",1368629821313
installed,bundle,org.junit4,4.8.1.v20100525,"org.junit4",1368629821314
installed,bundle,org.w3c.css.sac,1.3.1.v200903091627,"org.w3c.css.sac",1368629821316
installed,bundle,org.w3c.dom.events,3.0.0.draft20060413_v200905140418,"org.w3c.dom.events",1368629821317
installed,bundle,org.w3c.dom.smil,1.0.1.v200903091627,"org.w3c.dom.smil",1368629821319
installed,bundle,org.w3c.dom.svg,1.1.0.v200806040011,"org.w3c.dom.svg",1368629821321
unresolved,bundle,org.apache.commons.logging,1.0.4.v200904062259,"org.apache.commons.logging",1368629821333
